lang,start,end
nfu,17177694,17179365
kdz,17179365,17179488
yam,17179488,17179560
mtk,17179560,17179571
bax,17179571,17179980
bxr,17179980,17182454
nge,17182454,17182821
baw,17182821,17182858
pny,17182858,17184392
bfd,17184392,17184550
nla,17184550,17184562
fmp,17184562,17185948
ybb,17185948,17188343
bbj,17188343,17189622
byv,17189622,17190452
nnh,17190452,17190679
nwe,17190679,17191397
agq,17191397,17192263
bmv,17192263,17194246
oku,17194246,17194780
lns,17194780,17194823
ndb,17194823,17194988
bav,17194988,17195563
bvm,17195563,17195574
lmx,17195574,17195937
dmo,17195937,17195978
nhu,17195978,17196032
bdu,17196032,17196210
bss,17196210,17196354
bri,17196354,17198271
bnm,17198271,17198283
bng,17198283,17198323
tvu,17198323,17200733
nvo,17200733,17200765
lem,17200765,17200806
dii,17200806,17200817
ksf,17200817,17201273
ngy,17201273,17201317
bum,17201317,17201366
ewo,17201366,17201843
syi,17201843,17201854
keb,17201854,17201893
mbm,17201893,17201973
nmd,17201973,17202464
teg,17202464,17204421
ngz,17204421,17204431
ebo,17204431,17204478
tek,17204478,17205441
tyx,17205441,17205451
tii,17205451,17205488
axk,17205488,17205532
koh,17205532,17207748
nto,17207748,17207870
kbj,17207870,17207877
soz,17207877,17209220
thk,17209220,17210554
dig,17210554,17210594
nim,17210594,17212304
swh,17212304,17277316
ked,17277316,17279881
nnb,17279881,17282008
luj,17282008,17282017
kcv,17282017,17282055
nka,17282055,17282258
chw,17282258,17282269
sma,17282269,17305833
mrj,17305833,17306306
kca,17306306,17309232
yrk,17309232,17313452
enf,17313452,17313563
nio,17313563,17313905
xas,17313905,17314728
chv,17314728,17331410
kjh,17331410,17332323
tat,17332323,17360239
clw,17360239,17360281
khk,17360281,17403600
eve,17403600,17404109
gld,17404109,17404877
ulc,17404877,17404931
ykg,17404931,17405036
ckt,17405036,17405352
krk,17405352,17405367
kpy,17405367,17405578
ket,17405578,17407243
hnj,17407243,17410448
ium,17410448,17411468
onb,17411468,17411934
enc,17411934,17411946
gqu,17411946,17412079
yrn,17412079,17412195
yha,17412195,17412902
lbc,17412902,17413087
doc,17413087,17413311
kmc,17413311,17413548
swi,17413548,17413775
mlm,17413775,17413949
mkg,17413949,17414011
mmd,17414011,17414100
aih,17414100,17414142
lic,17414142,17414573
jio,17414573,17414725
laq,17414725,17414864
lha,17414864,17415029
tha,17415029,17674689
shn,17674689,17675265
khb,17675265,17675685
pht,17675685,17675696
nod,17675696,17675815
sou,17675815,17675826
blt,17675826,17676000
tyr,17676000,17676151
tdd,17676151,17676342
nut,17676342,17676699
tyz,17676699,17676803
mlc,17676803,17676814
zyg,17676814,17682630
zzj,17682630,17683342
zyb,17683342,17684682
pcc,17684682,17684975
skb,17684975,17685143
yoy,17685143,17685219
bbh,17685219,17685232
mtq,17685232,17685250
scb,17685250,17685354
blr,17685354,17685377
wbm,17685377,17685573
huo,17685573,17685579
puo,17685579,17685675
kdt,17685675,17686016
ktv,17686016,17686075
ngt,17686075,17686087
khm,17686087,17695900
cmo,17695900,17696279
ren,17696279,17696627
tdr,17696627,17696689
ply,17696689,17696703
mnw,17696703,17697080
jhi,17697080,17697090
mzt,17697090,17697094
jah,17697094,17697098
unr,17697098,17699494
asr,17699494,17699990
sat,17699990,17704193
trd,17704193,17704204
jun,17704204,17704955
srb,17704955,17711226
gaq,17711226,17711268
zho,17711268,17715749
och,17715749,17716631
ltc,17716631,17722920
dng,17722920,17723025
cjy,17723025,17723040
hsn,17723040,17730356
gan,17730356,17734533
mnp,17734533,17734765
cdo,17734765,17738881
bca,17738881,17739417
bfc,17739417,17739865
kjp,17739865,17739876
kyu,17739876,17739929
ksw,17739929,17740015
jkm,17740015,17740026
jkp,17740026,17740037
new,17740037,17744031
clk,17744031,17744090
tsj,17744090,17744137
twm,17744137,17744168
kzq,17744168,17744217
ght,17744217,17744220
nmm,17744220,17745252
gvr,17745252,17745344
ths,17745344,17745428
lbj,17745428,17745442
dzo,17745442,17758254
rji,17758254,17758265
cdm,17758265,17758318
dus,17758318,17758386
klr,17758386,17758451
ncd,17758451,17758457
lmh,17758457,17758461
aph,17758461,17758467
lif,17758467,17758577
txg,17758577,17766873
zhb,17766873,17766884
pmi,17766884,17766935
sxg,17766935,17766945
trp,17766945,17766988
njb,17766988,17767046
mni,17767046,17767146
mro,17767146,17767158
nsa,17767158,17767220
nsm,17767220,17767291
nng,17767291,17767302
nmf,17767302,17767370
nkf,17767370,17767381
nki,17767381,17767392
nkd,17767392,17767403
tcz,17767403,17767458
csy,17767458,17767469
zom,17767469,17767484
anm,17767484,17767496
lmk,17767496,17767508
kmm,17767508,17767530
tro,17767530,17767575
aim,17767575,17767597
cdf,17767597,17767608
pub,17767608,17767619
biu,17767619,17767629
cfm,17767629,17767641
pkh,17767641,17767652
czt,17767652,17767675
cnk,17767675,17767697
kac,17767697,17767806
tcl,17767806,17767817
raw,17767817,17767907
nun,17767907,17767918
duu,17767918,17768006
nxq,17768006,17768788
nru,17768788,17768799
ktp,17768799,17768809
hpo,17768809,17768850
nuf,17768850,17768918
ywq,17768918,17769037
pho,17769037,17769109
lis,17769109,17769207
yix,17769207,17769218
ycl,17769218,17769229
yph,17769229,17769240
mpz,17769240,17769290
hni,17769290,17769303
lhi,17769303,17769314
ero,17769314,17769325
dru,17769325,17770012
bnn,17770012,17770587
pyu,17770587,17771476
ami,17771476,17772412
ckv,17772412,17773292
ssf,17773292,17773829
isd,17773829,17774678
att,17774678,17774916
dgc,17774916,17775635
tis,17775635,17775651
kmk,17775651,17775723
blw,17775723,17775960
ifa,17775960,17776193
kne,17776193,17776853
ibl,17776853,17777197
kyj,17777197,17777208
ivv,17777208,17780661
agv,17780661,17780705
xsb,17780705,17780891
sbl,17780891,17781223
suc,17781223,17781440
obo,17781440,17781454
atm,17781454,17781481
mbt,17781481,17781716
msm,17781716,17787264
mbi,17787264,17787483
mbb,17787483,17788364
mbs,17788364,17788611
mta,17788611,17788873
tbk,17788873,17789212
tbw,17789212,17789308
bdg,17789308,17789922
bcl,17789922,17791753
ubl,17791753,17792458
bto,17792458,17792543
msk,17792543,17793064
sgd,17793064,17793395
ceb,17793395,17808192
bks,17808192,17808242
rol,17808242,17808333
bgi,17808333,17808355
tiy,17808355,17808808
bps,17808808,17809065
sxn,17809065,17809966
txs,17809966,17810271
tdn,17810271,17810335
tom,17810335,17810385
tnt,17810385,17810939
tnw,17810939,17810987
bne,17810987,17810998
bld,17810998,17811021
blf,17811021,17811067
bgz,17811067,17811461
loe,17811461,17811472
bzb,17811472,17811484
bzl,17811484,17811544
lje,17811544,17811555
pmf,17811555,17812374
mzq,17812374,17812445
sda,17812445,17812505
mvp,17812505,17812658
skx,17812658,17812669
kly,17812669,17812680
lji,17812680,17812691
kqv,17812691,17812702
tih,17812702,17813029
kxi,17813029,17813042
bnb,17813042,17813054
kve,17813054,17813065
gnq,17813065,17813080
dkr,17813080,17813091
dtr,17813091,17813139
dtb,17813139,17813152
kqr,17813152,17813277
tgb,17813277,17813288
bsy,17813288,17813317
dmv,17813317,17813328
txa,17813328,17813404
ruu,17813404,17813415
lnd,17813415,17813614
mel,17813614,17814333
nrm,17814333,17814503
xem,17814503,17814514
rir,17814514,17814525
lbx,17814525,17814600
dun,17814600,17814658
mhy,17814658,17814915
otd,17814915,17815202
nij,17815202,17816648
tjg,17816648,17816876
sse,17816876,17816947
sas,17816947,17817923
eno,17817923,17818260
xdy,17818260,17818358
mkm,17818358,17818369
mwt,17818369,17818686
huq,17818686,17818928
hro,17818928,17818939
amv,17818939,17818951
szn,17818951,17818963
bnf,17818963,17819408
kzl,17819408,17819473
nxl,17819473,17819527
jal,17819527,17819539
huk,17819539,17819550
lcs,17819550,17819601
bzn,17819601,17819641
mqp,17819641,17819652
lcq,17819652,17819667
kzx,17819667,17819746
hrk,17819746,17819843
amq,17819843,17820063
kei,17820063,17820393
slp,17820393,17820936
aol,17820936,17821051
aoz,17821051,17821360
tkd,17821360,17821643
rmm,17821643,17821813
kje,17821813,17822065
dij,17822065,17822234
ddw,17822234,17822398
ljl,17822398,17822644
nxg,17822644,17823170
skz,17823170,17823396
nbn,17823396,17823445
irh,17823445,17823693
ire,17823693,17823753
mcy,17823753,17823846
